fold,n_train,n_test,brier,auc,log_loss,brier_cal,auc_cal,log_loss_cal,rhat_max,ess_min,divergences
Dec2021-Jan2022,663,22,0.026651925959050225,0.4,0.3442711767288936,0.02428879540549068,0.325,0.35173530746226067,1.0,4070.0,0
Dec2022-Jan2023,666,19,0.07372326263106034,0.7000000000000001,0.5058692550515694,0.07454497862627893,0.7083333333333334,0.48916234850146634,1.0,3892.0,0
Dec2023-Jan2024,663,22,0.05476641407255484,0.84375,0.545856020692626,0.05504075358371962,0.875,0.5574882426335704,1.0,3866.0,0
Dec2024-Jan2025,647,38,0.028460266850544574,0.6216216216216216,0.19557501918599585,0.02988886929926454,0.5540540540540541,0.19212668372849376,1.0,3964.0,0
Dec2025-Jan2026,652,33,0.024249146265563255,0.6935483870967742,0.24875747380781435,0.02251468340047685,0.7096774193548387,0.2404128539466803,1.0,4126.0,0
