fold,n_train,n_test,brier,auc,log_loss,rhat_max,ess_min,divergences
Dec2021-Jan2022,724,22,0.02305405086712237,0.7619047619047619,0.22723694758292054,1.0,4739.0,0
Dec2022-Jan2023,725,21,0.07173366124537243,0.6911764705882353,0.49778219466911205,1.0,4979.0,0
Dec2023-Jan2024,723,23,0.09510169343129561,0.8157894736842105,0.4605133491286897,1.0,4655.0,0
Dec2024-Jan2025,707,39,0.029001807291038677,0.368421052631579,0.20397225256728388,1.0,4911.0,0
Dec2025-Jan2026,711,35,0.024404008756435506,0.6176470588235294,0.19912362247558843,1.0,4620.0,0
